Category,DayOfWeek,Time,PdDistrict,Resolution
LARCENY/THEFT,Sunday,12:30,TENDERLOIN,NONE
LARCENY/THEFT,Thursday,12:30,SOUTHERN,NONE
LARCENY/THEFT,Sunday,13:39,SOUTHERN,NONE
WARRANTS,Friday,16:35,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,Friday,01:30,TENDERLOIN,NONE
WARRANTS,Sunday,20:33,INGLESIDE,"ARREST, BOOKED"
LARCENY/THEFT,Friday,11:30,NORTHERN,NONE
SUSPICIOUS OCC,Thursday,10:20,SOUTHERN,NONE
BURGLARY,Friday,20:30,SOUTHERN,NONE
ASSAULT,Thursday,23:50,BAYVIEW,NONE
LARCENY/THEFT,Thursday,17:30,MISSION,NONE
WARRANTS,Thursday,17:12,SOUTHERN,"ARREST, BOOKED"
SUSPICIOUS OCC,Tuesday,14:11,MISSION,NONE
MISSING PERSON,Monday,10:00,MISSION,NONE
LARCENY/THEFT,Monday,13:07,CENTRAL,NONE
LARCENY/THEFT,Tuesday,13:30,NORTHERN,NONE
LARCENY/THEFT,Saturday,00:01,CENTRAL,NONE
ASSAULT,Saturday,12:22,BAYVIEW,NONE
ASSAULT,Sunday,20:10,MISSION,NONE
LARCENY/THEFT,Thursday,18:30,BAYVIEW,NONE
VANDALISM,Tuesday,04:19,INGLESIDE,"ARREST, BOOKED"
MISSING PERSON,Thursday,13:50,TARAVAL,NONE
BURGLARY,Wednesday,15:20,NORTHERN,"ARREST, BOOKED"
"SEX OFFENSES, FORCIBLE",Friday,22:30,MISSION,NONE
RECOVERED VEHICLE,Sunday,21:02,TENDERLOIN,NONE
VANDALISM,Saturday,01:15,TARAVAL,NONE
VANDALISM,Saturday,02:00,BAYVIEW,NONE
LARCENY/THEFT,Saturday,00:20,NORTHERN,NONE
BURGLARY,Wednesday,05:21,SOUTHERN,NONE
OTHER OFFENSES,Saturday,18:00,INGLESIDE,NONE
NON-CRIMINAL,Sunday,08:00,MISSION,NONE
LARCENY/THEFT,Thursday,14:00,SOUTHERN,NONE
LARCENY/THEFT,Wednesday,19:45,CENTRAL,NONE
SUSPICIOUS OCC,Wednesday,22:00,BAYVIEW,NONE
LARCENY/THEFT,Wednesday,22:05,SOUTHERN,NONE
OTHER OFFENSES,Saturday,10:50,MISSION,"ARREST, BOOKED"
ASSAULT,Thursday,12:00,BAYVIEW,NONE
NON-CRIMINAL,Sunday,04:00,INGLESIDE,NONE
VEHICLE THEFT,Thursday,16:30,MISSION,NONE
LARCENY/THEFT,Monday,17:00,SOUTHERN,NONE
VANDALISM,Monday,08:15,NORTHERN,NONE
FRAUD,Friday,08:30,SOUTHERN,NONE
VANDALISM,Monday,18:00,CENTRAL,NONE
VANDALISM,Thursday,19:34,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,Saturday,12:50,BAYVIEW,"ARREST, BOOKED"
